49,14,Abnormal
47,13,Abnormal
46,15,Abnormal
50,14,Abnormal
54,17,Abnormal
46,14,Abnormal
50,15,Abnormal
44,14,Abnormal
49,15,Abnormal
54,15,Abnormal
48,16,Abnormal
48,14,Abnormal
43,11,Abnormal
58,12,Abnormal
57,15,Abnormal
54,13,Abnormal
51,14,Abnormal
57,17,Abnormal
51,15,Abnormal
54,17,Abnormal
51,15,Abnormal
46,10,Abnormal
51,17,Abnormal
48,19,Abnormal
50,16,Abnormal
50,16,Abnormal
52,15,Abnormal
52,14,Abnormal
47,16,Abnormal
48,16,Abnormal
54,15,Abnormal
52,15,Abnormal
55,14,Abnormal
49,15,Abnormal
50,12,Abnormal
55,13,Abnormal
49,15,Abnormal
44,13,Abnormal
51,15,Abnormal
50,13,Abnormal
45,13,Abnormal
44,13,Abnormal
50,16,Abnormal
51,19,Abnormal
48,14,Abnormal
51,16,Abnormal
46,14,Abnormal
53,15,Abnormal
50,14,Abnormal
70,47,Normal
64,45,Normal
69,49,Normal
55,40,Normal
65,46,Normal
57,45,Normal
63,47,Normal
49,33,Normal
66,46,Normal
52,39,Normal
50,35,Normal
59,42,Normal
60,40,Normal
61,47,Normal
56,36,Normal
67,44,Normal
56,45,Normal
58,41,Normal
62,45,Normal
56,39,Normal
59,48,Normal
61,40,Normal
63,49,Normal
61,47,Normal
64,43,Normal
66,44,Normal
68,48,Normal
67,50,Normal
60,45,Normal
57,35,Normal
55,38,Normal
55,37,Normal
58,39,Normal
60,51,Normal
54,45,Normal
60,45,Normal
67,47,Normal
63,44,Normal
56,41,Normal
55,40,Normal
55,44,Normal
61,46,Normal
58,40,Normal
50,33,Normal
56,42,Normal
57,42,Normal
57,42,Normal
62,43,Normal
51,30,Normal
57,41,Normal
